"Variables ->","i","i_star","D4L_cpi","D4L_pce_core","gdp_gap","gdp_gap_star"
"Comments ->","","","","","",""
"Class[Size] ->","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]"
"2017M03",3.00000000e+00,8.20000000e-01,3.92051163e+00,1.66472093e+00,6.01400277e-01,2.85224262e-01
"2017M04",3.00000000e+00,8.30000000e-01,4.00735970e+00,1.62356983e+00,-2.15705806e-01,4.98533372e-01
"2017M05",3.00000000e+00,8.30000000e-01,3.85757599e+00,1.53369961e+00,-1.04725631e+00,7.10502527e-01
"2017M06",3.00000000e+00,1.06000000e+00,4.27234193e+00,1.56414699e+00,3.29043799e-01,8.20289029e-01
"2017M07",3.00000000e+00,1.07000000e+00,5.08788329e+00,1.49192599e+00,-7.52620208e-01,7.00784364e-01
"2017M08",3.00000000e+00,1.07000000e+00,4.60896740e+00,1.42341492e+00,-1.03200509e+00,6.71493950e-01
"2017M09",3.00000000e+00,1.06000000e+00,4.26758466e+00,1.41256355e+00,-1.14411496e+00,6.79039661e-01
"2017M10",3.00000000e+00,1.07000000e+00,4.11733933e+00,1.52925812e+00,-1.72182443e+00,4.21277995e-01
"2017M11",2.75000000e+00,1.07000000e+00,4.58495496e+00,1.53355717e+00,-2.06162462e+00,1.05765457e-01
"2017M12",2.75000000e+00,1.33000000e+00,5.52160484e+00,1.56457299e+00,-1.01393145e+00,-1.79474400e-01
"2018M01",2.75000000e+00,1.34000000e+00,4.60635477e+00,1.61886245e+00,-4.24194261e-01,-4.55555134e-01
"2018M02",2.75000000e+00,1.35000000e+00,4.06718893e+00,1.63084722e+00,-1.73686040e-01,-3.18832264e-01
"2018M03",2.75000000e+00,1.67000000e+00,4.05755320e+00,1.89118696e+00,5.72673594e-01,1.03976008e-01
"2018M04",2.75000000e+00,1.69000000e+00,3.84545396e+00,1.86668776e+00,1.10954737e+00,5.51048919e-01
"2018M05",2.75000000e+00,1.70000000e+00,4.00524678e+00,1.96153782e+00,9.59744265e-01,9.94912913e-01
"2018M06",2.75000000e+00,1.91000000e+00,3.72020113e+00,1.91771358e+00,1.56838403e+00,1.02298616e+00
"2018M07",2.75000000e+00,1.91000000e+00,2.57191211e+00,1.97614541e+00,9.33476701e-01,9.72971541e-01
"2018M08",2.75000000e+00,1.91000000e+00,3.30960622e+00,1.87801734e+00,6.52207204e-01,8.87470818e-01
"2018M09",2.75000000e+00,2.18000000e+00,4.45148544e+00,1.94132897e+00,-3.48090010e-01,8.48903172e-01
"2018M10",2.75000000e+00,2.20000000e+00,4.24614885e+00,1.85362119e+00,-2.21181304e-01,4.08363454e-01
"2018M11",2.75000000e+00,2.20000000e+00,3.09975878e+00,1.99030653e+00,-1.39311947e+00,-9.91556422e-02
"2018M12",2.75000000e+00,2.40000000e+00,2.28657255e+00,2.01758901e+00,-2.33634820e+00,-6.08624308e-01
"2019M01",2.75000000e+00,2.40000000e+00,4.02285600e+00,1.82762338e+00,-8.62623608e-01,-1.09918647e+00
"2019M02",2.75000000e+00,2.40000000e+00,4.36192496e+00,1.72907066e+00,-7.82163661e-02,-8.27986160e-01
"2019M03",2.75000000e+00,2.43000000e+00,4.08639287e+00,1.60314862e+00,9.80223409e-02,-3.76448703e-01
"2019M04",2.75000000e+00,2.45000000e+00,4.64349549e+00,1.62352797e+00,1.10453092e+00,3.80051055e-01
"2019M05",2.75000000e+00,2.40000000e+00,4.43707820e+00,1.55108374e+00,1.82811535e+00,7.78098692e-01
